feature,global_mean,global_std,local_std,stability_ratio,stability_gain
feature_altern_packaged_presbyterian,1692.3101045296166,505.31703593755384,383.6953588689742,0.7593160957992926,121.62167706857963
feature_alternant_conferrable_fanfaron,1404.9233449477351,556.6751689068305,465.44928753185087,0.8361236741453292,91.22588137497968
feature_aluminum_archaic_steward,1350.088850174216,533.7871288239835,474.58786926993326,0.8890957530495809,59.19925955405023
feature_alveated_furcular_pinochle,1455.2038327526132,580.1335904880094,459.66908050363935,0.792350396599109,120.46450998437007
feature_amethystine_convulsant_mystique,555.595818815331,509.0257508820367,375.6265259941656,0.7379322663800059,133.39922488787107
feature_amiable_aurorean_acorn,2222.743902439024,367.5893104277727,172.4043994951366,0.46901363724234896,195.18491093263611
feature_ammoniac_green_egocentricity,2257.7038327526134,329.81917318584,137.83021946901414,0.41789632221093553,191.98895371682585
feature_ampler_unstilled_weatherman,537.5522648083623,569.4240437422014,350.0320216544431,0.6147124019457721,219.39202208775833
feature_anabolic_pleading_menstruum,1621.1829268292684,588.6831961227977,458.6468940094302,0.7791064821115732,130.03630211336747
feature_anabolic_statued_wesleyanism,1990.9216027874565,536.5142675532279,311.67849533527357,0.580932352007492,224.83577221795434
feature_anagrammatic_andantino_destruction,2377.8728222996515,430.75348107593555,121.76217671127218,0.28267253095003375,308.9913043646634
feature_analgesic_pensionary_exterior,1625.334494773519,526.2650175726804,394.38090234894224,0.7493960061566809,131.8841152237382
feature_analogical_obstructed_martingale,1736.7212543554008,554.8017670297173,373.0508118854664,0.6724037918673109,181.75095514425095
feature_anamorphic_hidden_termagant,1409.219512195122,586.8607053696107,473.6208593119936,0.807041355774029,113.23984605761711
feature_angelical_confiscate_shadberry,1122.7473867595818,663.0715169563109,391.8215481332049,0.5909189855293114,271.24996882310603
feature_animal_redeeming_afterpiece,1650.3188153310105,545.9839392136204,420.26160485858605,0.7697325409679414,125.72233435503432
feature_anionic_glottidean_heath,1500.862369337979,546.6035508096584,442.9126414259786,0.8102996052073075,103.69090938367975
feature_anomic_isocyclic_absinth,1511.5731707317073,620.1245503828127,474.4646322152302,0.7651118342635131,145.65991816758248
feature_antasthmatic_genteel_sesquioxide,2476.698606271777,331.45251452845224,50.6765558552136,0.15289235602061926,280.7759586732386
feature_antediluvian_establishmentarian_zebra,1484.6759581881533,545.7974835673501,427.4800478278878,0.7832209944132836,118.31743573946233
feature_antemeridian_enveloping_duke,1489.581881533101,552.5823869169501,470.6490541908962,0.8517264851976398,81.93333272605389
feature_anthracoid_tamable_consulship,1451.3101045296166,538.9729759119095,443.710344701571,0.8232515627538468,95.26263121033855
feature_anthroposophical_slate_algologist,1986.871080139373,476.58636442652795,303.76244878188595,0.6373712541008187,172.823915644642
feature_anticipatory_debasing_eutherian,437.7682926829268,540.0149086283495,318.06391863922426,0.588990995539575,221.95098998912528
feature_antidepressant_rationalistic_adaptation,1520.7979094076654,564.039736816178,456.3116414910993,0.8090061953202642,107.7280953250787
feature_antigenic_perforate_chickenpox,1147.993031358885,622.6352765146127,528.107211690136,0.8481806791391168,94.5280648244767
feature_antimalarial_maungy_jinni,1397.301393728223,1065.519371149459,297.8375427352393,0.2795233487064047,767.6818284142196
feature_antiphlogistic_unharming_rallier,1417.6881533101046,640.596944528571,456.57956634303633,0.7127407806776895,184.0173781855347
